City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,Cayenne,4.9333,-52.3333,84.24,83,75,4.0,GF,2021-11-29 19:38:01
335,Hofn,64.2539,-15.2082,28.42,54,20,10.36,IS,2021-11-29 19:38:01
336,Bereznik,62.8551,42.7072,8.11,93,100,5.79,RU,2021-11-29 19:38:02
337,Mezen,65.8522,44.24,0.84,100,79,3.24,RU,2021-11-29 19:38:02
338,Pangnirtung,66.1451,-65.7125,19.4,73,90,11.5,CA,2021-11-29 19:38:03
339,Husavik,66.0449,-17.3389,24.71,78,100,9.84,IS,2021-11-29 19:38:03
340,Brest,52.1,23.7,32.67,90,100,18.3,BY,2021-11-29 19:38:04
341,Angers,47.4667,-0.55,37.98,89,58,5.61,FR,2021-11-29 19:38:04
342,Tamsweg,47.1281,13.811,23.36,95,78,6.98,AT,2021-11-29 19:38:04
343,Makakilo City,21.3469,-158.0858,79.12,58,1,9.22,US,2021-11-29 19:38:05
344,Novoselitskoye,44.7508,43.4369,42.67,76,60,7.52,RU,2021-11-29 19:38:05
345,Anadyr,64.75,177.4833,1.9,84,40,1.99,RU,2021-11-29 19:38:06
346,Le Vauclin,14.5452,-60.8388,86.05,62,75,13.8,MQ,2021-11-29 19:38:06
347,Coihaique,-45.5752,-72.0662,61.41,44,40,8.05,CL,2021-11-29 19:38:06
348,Kota Tinggi,1.7381,103.8999,82.44,88,100,3.38,MY,2021-11-29 19:38:07
349,Vila Velha,-20.3297,-40.2925,80.55,86,40,11.01,BR,2021-11-29 19:38:07
350,Katsuura,35.1333,140.3,46.51,75,63,12.48,JP,2021-11-29 19:38:08
351,Margate,51.3813,1.3862,38.03,77,58,4.0,GB,2021-11-29 19:38:08
352,Damaturu,11.747,11.9608,75.88,17,2,9.86,NG,2021-11-29 19:38:09
353,Arak,34.0917,49.6892,47.34,59,0,2.46,IR,2021-11-29 19:38:09
354,Argir,61.9959,-6.7715,36.57,71,100,18.03,FO,2021-11-29 19:38:10
355,Falmouth,50.1544,-5.0711,49.1,100,20,6.91,GB,2021-11-29 19:38:10
356,Broome,42.2506,-75.833,35.22,70,90,5.01,US,2021-11-29 19:38:10
357,Wanning,18.8003,110.3967,66.92,83,9,9.62,CN,2021-11-29 19:38:11
358,Bharatpur,27.2167,77.4833,62.46,31,86,4.83,IN,2021-11-29 19:38:11
359,Kupino,54.3663,77.2981,14.22,81,100,8.32,RU,2021-11-29 19:38:12
360,Athmallik,20.7219,84.5348,60.8,66,52,1.21,IN,2021-11-29 19:38:12
361,Mancio Lima,-7.6142,-72.8958,87.87,70,75,8.05,BR,2021-11-29 19:38:13
362,Salalah,17.0151,54.0924,80.69,29,0,3.44,OM,2021-11-29 19:38:13
363,Formosa,-26.1775,-58.1781,84.18,39,0,8.05,AR,2021-11-29 19:38:14
364,Morrope,-6.5417,-80.0111,82.8,57,92,17.96,PE,2021-11-29 19:38:14
365,Taman,45.2117,36.7161,59.32,88,100,30.04,RU,2021-11-29 19:38:15
366,Vestmannaeyjar,63.4427,-20.2734,36.18,94,100,37.45,IS,2021-11-29 19:38:15
367,Kushima,31.4583,131.2333,56.16,77,43,3.11,JP,2021-11-29 19:38:16
